STT-3300;A22;;;;;
STT-3300;A23;;;;;
STT-3300;A24;;;;;
STT-3400;H23;;;;;
STT-3400;H24;;;;;
STT-3400;H25;;;;;
STT-4100;A22;;;;;
STT-4100;A23;;;;;
STT-4100;A24;;;;;
STT-4140;H24;;;;;
STT-4140;H25;;;;;
STT-4230;H23;;;;;
STT-4230;H24;;;;;
STT-4230;A24;;;;;
STT-4400;H23;;;;;
STT-4400;H24;;;;;
STT-4400;H25;;;;;
STT-4500;A22;;;;;
STT-4500;A23;;;;;
STT-4500;A24;;;;;
STT-4600;H23;;;;;
STT-4600;H24;;;;;
STT-4600;H25;;;;;
STT-4630;A23;;;;;
STT-4700;H23;;;;;
STT-4700;H24;;;;;
STT-4700;H25;;;;;
