sigle;session;section;mode;jour;heure_debut;heure_fin
GIN-3580;H24;;;;;
GIN-3580;H25;;;;;
GIN-3580;H27;;;;;
GIN-3580;H28;;;;;
GIN-3580;H29;;;;;
GIN-3580;H30;;;;;
GIN-3580;H31;;;;;
GIN-4003;H26;A;P;1;15:30;17:20
GIN-4003;H26;A;P;5;14:30;16:20
GIN-4003;H25;A;P;1;15:30;17:20
GIN-4003;H25;A;P;3;18:30;20:20
GIN-4003;H21;;;;;
GIN-4003;H22;;;;;
GIN-4003;H23;;;;;
GIN-4003;H24;;;;;
GIN-4003;H27;;;;;
GIN-4003;H28;;;;;
GIN-4003;H29;;;;;
GIN-4003;H30;;;;;
GIN-4003;H31;;;;;
GIN-4021;H26;A;P;2;14:30;16:20
GIN-4021;H26;A;P;3;16:30;18:20
GIN-4021;H26;A;P;4;16:30;18:20
GIN-4021;H25;A;P;2;14:30;16:20
GIN-4021;H25;A;P;3;16:30;18:20
GIN-4021;H25;A;P;4;16:30;18:20
GIN-4021;H21;;;;;
GIN-4021;H22;;;;;
GIN-4021;H23;;;;;
GIN-4021;H24;;;;;
GIN-4021;H27;;;;;
GIN-4021;H28;;;;;
GIN-4021;H29;;;;;
GIN-4021;H30;;;;;
GIN-4021;H31;;;;;
GLG-1000;A26;A;P;5;13:30;16:20
GLG-1000;H26;A;P;5;12:30;15:20
GLG-1000;A25;A;P;5;13:30;16:20
GLG-1000;A20;;;;;
GLG-1000;A21;;;;;
GLG-1000;A22;;;;;
GLG-1000;A23;;;;;
GLG-1000;A24;;;;;
GLG-1000;A27;;;;;
GLG-1000;A28;;;;;
GLG-1000;A29;;;;;
GLG-1000;A30;;;;;
GLG-1000;A31;;;;;
GLG-1000;H21;;;;;
GLG-1000;H22;;;;;
GLG-1000;H23;;;;;
GLG-1000;H24;;;;;
GLG-1000;H25;;;;;
GLG-1000;H27;;;;;
GLG-1000;H28;;;;;
GLG-1000;H29;;;;;
GLG-1000;H30;;;;;
GLG-1000;H31;;;;;
