sigle;session;section;mode;jour;heure_debut;heure_fin
GIF-4101;A25;H;H;3;08:30;10:20
GIF-4101;A24;H;H;3;08:30;10:20
GIF-4101;A25;;;;;
GIF-4101;A26;;;;;
GIF-4101;A27;;;;;
GIF-4101;A28;;;;;
GIF-4101;A29;;;;;
GIF-4101;A30;;;;;
GIF-4101;A31;;;;;
GIN-2010;H26;A;P;1;08:30;10:20
GIN-2010;H26;A;P;1;10:30;12:20
GIN-2010;H26;A;P;4;13:30;15:20
GIN-2010;H25;A;P;1;08:30;10:20
GIN-2010;H25;A;P;1;10:30;12:20
GIN-2010;H25;A;P;4;13:30;15:20
GIN-2010;H26;;;;;
GIN-2010;H27;;;;;
GIN-2010;H28;;;;;
GIN-2010;H29;;;;;
GIN-2010;H30;;;;;
GIN-2010;H31;;;;;
GIN-2110;A26;A;P;2;09:30;12:20
GIN-2110;A26;A;P;4;15:30;17:20
GIN-2110;A26;B;P;2;09:30;12:20
GIN-2110;A26;B;P;5;08:30;10:20
GIN-2110;A25;A;P;2;09:30;12:20
GIN-2110;A25;A;P;4;15:30;17:20
GIN-2110;A25;B;P;2;09:30;12:20
GIN-2110;A25;B;P;5;08:30;10:20
GIN-2110;A24;A;P;2;09:30;12:20
GIN-2110;A24;A;P;4;15:30;17:20
GIN-2110;A24;B;P;2;09:30;12:20
GIN-2110;A24;B;P;5;08:30;10:20
GIN-2110;A25;;;;;
GIN-2110;A26;;;;;
GIN-2110;A27;;;;;
GIN-2110;A28;;;;;
GIN-2110;A29;;;;;
GIN-2110;A30;;;;;
GIN-2110;A31;;;;;
GIN-3010;H26;A;P;3;08:30;11:20
GIN-3010;H25;A;P;3;08:30;11:20
GIN-3010;H26;;;;;
GIN-3010;H27;;;;;
GIN-3010;H28;;;;;
GIN-3010;H29;;;;;
GIN-3010;H30;;;;;
GIN-3010;H31;;;;;
GIN-3110;A26;A;P;2;08:30;10:20
GIN-3110;A26;A;P;4;13:30;15:20
GIN-3110;A25;A;P;2;08:30;10:20
GIN-3110;A25;A;P;4;13:30;15:20
GIN-3110;A24;A;P;2;08:30;10:20
GIN-3110;A24;A;P;4;13:30;15:20
GIN-3110;A25;;;;;
GIN-3110;A26;;;;;
GIN-3110;A27;;;;;
GIN-3110;A28;;;;;
GIN-3110;A29;;;;;
GIN-3110;A30;;;;;
GIN-3110;A31;;;;;
GIN-3220;H26;A;P;2;10:30;12:20
GIN-3220;H26;A;P;4;11:30;13:20
GIN-3220;H25;A;P;2;10:30;12:20
GIN-3220;H25;A;P;4;10:30;12:20
GIN-3220;H26;;;;;
GIN-3220;H27;;;;;
GIN-3220;H28;;;;;
GIN-3220;H29;;;;;
GIN-3220;H30;;;;;
GIN-3220;H31;;;;;
GIN-4003;H26;A;P;1;15:30;17:20
GIN-4003;H26;A;P;5;14:30;16:20
GIN-4003;H25;A;P;1;15:30;17:20
GIN-4003;H25;A;P;3;18:30;20:20
GIN-4003;H26;;;;;
GIN-4003;H27;;;;;
GIN-4003;H28;;;;;
GIN-4003;H29;;;;;
GIN-4003;H30;;;;;
GIN-4003;H31;;;;;
GLO-1901;A26;HA;H;3;17:30;18:20
GLO-1901;A26;HB;H;3;17:30;18:20
GLO-1901;H26;HA;H;4;17:30;18:20
GLO-1901;H26;HB;H;4;17:30;18:20
GLO-1901;A25;HA;H;3;17:30;18:20
GLO-1901;A25;HB;H;3;17:30;18:20
GLO-1901;A25;HC;H;3;17:30;18:20
GLO-1901;A26;;;;;
GLO-1901;A27;;;;;
GLO-1901;A28;;;;;
GLO-1901;A29;;;;;
GLO-1901;A30;;;;;
GLO-1901;A31;;;;;
GLO-1901;H27;;;;;
GLO-1901;H28;;;;;
GLO-1901;H29;;;;;
GLO-1901;H30;;;;;
GLO-1901;H31;;;;;
GLO-2100;A26;A;P;4;15:30;18:20
GLO-2100;A26;A;P;5;10:30;12:20
GLO-2100;A26;B;P;4;15:30;18:20
GLO-2100;A26;B;P;5;12:30;14:20
GLO-2100;A25;A;P;4;10:30;11:50
GLO-2100;A25;A;P;4;15:30;16:50
GLO-2100;A25;A;P;5;10:30;12:20
GLO-2100;A25;B;P;4;10:30;11:50
